регион;произведено;всего;добыча полезных ископаемых;сельское хоз-во;строительство;транспортировка;эк деятельность;городское и сельское население;потери;год
Алтайский край;5219.1;9533.1;3163;567.4;181.8;723.7;1158.4;2360.6;1378.2;2005
Алтайский край;5428.6;9781.6;3415.2;638.6;164.7;937.3;698.1;2492.4;1435.3;2006
Алтайский край;6166.4;10058.2;3715.5;678.7;161.8;1030.4;666.2;2505.4;1300.2;2007
Алтайский край;6548.2;10876.3;3970.7;784.7;159.5;1045;815;2733.7;1367.7;2008
Алтайский край;6435.1;10005.4;3504.2;708.2;73.4;928.3;562.6;2784.2;1444.5;2009
Алтайский край;7136.2;10608.9;4150.7;718.2;69.1;1039;356.6;2784.9;1490.4;2010
Алтайский край;6631;10516;4230;698.1;66.3;956.7;374.7;2810.1;1380.1;2011
Алтайский край;7226.3;11116.2;3862.5;393.6;79.6;932.1;1597.7;2674.5;1448.3;2012
Алтайский край;6422.3;10814.5;3830.7;367.3;81;872.4;1579.1;2594.1;1350.4;2013
Алтайский край;6787.1;10998.4;3955.4;376.8;84.1;977.6;1798.2;2406.8;1284.2;2014
Алтайский край;6787.1;10998.4;3955.4;376.8;84.1;977.6;1798.2;2406.8;1284.2;2015
Алтайский край;7724.5;10719.2;3170.9;571;81.4;1214.5;1371.8;2657.1;1183.5;2016
Алтайский край;7363.7;10681.3;3555.1;523.4;73.5;1198.6;1028.9;2570.2;1129.9;2017
Алтайский край;7363.7;10681.3;3555.1;523.4;73.5;1198.6;1028.9;2570.2;1129.9;2018
Алтайский край;6221.9;10519.7;3506.1;515.1;79.7;1261.8;927.6;2562.9;1028.4;2019
Алтайский край;5645.7;10304.3;3436.6;504;75.3;1238.8;920.7;2501.3;997.3;2020
Алтайский край;5834.3;10568;3507.8;487.2;82.3;1321.7;1008.6;2497.8;1006.7;2021
Алтайский край;6647.7;10618.3;3537;483.4;79.3;1259.7;1066.5;2503.2;1016.5;2022
Алтайский край;6748.7;10733.7;3630.7;482.9;77;1233.2;1093.6;2520.7;1019.4;2023
Амурская область;1605.9;1605.9;392.8;45736;45761;39.4;399.5;456.9;282.6;2005
Амурская область;1621.4;1621.4;423.6;45708;45673;40.9;367.9;487.4;265.3;2006
Амурская область;9746.5;6019.2;1497.1;66.1;92.3;1860.6;731.2;580.6;1191.3;2007
Амурская область;9494.3;5796.2;1656.7;70.3;90.2;1818.4;546.1;598.2;1016.3;2008
Амурская область;11592.9;6420.2;1731.6;76.7;194;2027.7;246.3;866.5;1277.4;2009
Амурская область;12753.6;7041.3;1841.5;87.3;124.8;2416.4;470.3;953.7;1147.3;2010
Амурская область;11722.7;7828.2;2213.1;92.6;159.9;2492.1;1180.8;844.4;845.3;2011
Амурская область;13481.6;7512;1938.2;83.5;152.4;2668.4;589.5;1011.9;950.1;2012
Амурская область;15152.2;7580.9;2139;79.6;117;2574.7;616.1;1082.5;817.8;2013
Амурская область;14365.9;7017.7;2022.5;72.2;124.8;2660;400.400000000001;772.7;777.7;2014
Амурская область;14365.9;7017.7;2022.5;72.2;124.8;2660;400.4;772.7;777.7;2015
Амурская область;15499.8;8002.4;2071;86.4;166.2;2960.2;507.7;1142.9;827.4;2016
Амурская область;14290.5;8287;1906.6;96.5;135.5;2929.1;587.5;1175.2;1193.2;2017
Амурская область;14290.5;8287;1906.6;96.5;135.5;2929.1;587.5;1175.2;1193.2;2018
Амурская область;15158.7;8739.9;2194.2;113.3;115.2;3241.4;234.6;1228;1335.9;2019
Амурская область;16407.6;8722.2;2144.3;109.8;92.1;3232.4;282.6;1254.4;1331.6;2020
Амурская область;19002.4;9633;2390.5;107.9;142.1;3470.7;592.7;1271.3;1382.5;2021
Амурская область;19876.6;9748.1;2581.1;117.8;165;4099.4;382.6;1331.7;786.9;2022
Амурская область;18073.1;9970;2814.3;125.3;169.6;4225.9;224;1367.3;770.9;2023
Архангельская область;7112.3;8154.5;5171.6;123.7;214.7;673.3;417.9;779.2;774.1;2005
Архангельская область;7440.3;8466.9;5434.3;116.7;156;706.8;421.9;830.2;801;2006
Архангельская область;7791.2;8604.5;5581.9;114.5;96.8;659.9;530.4;292;766.2;2007
Архангельская область;7943.7;9024.2;5300.6;105.1;95.9;673.5;1308.8;865.5;674.8;2008
Архангельская область;7793.7;8791.1;5216.6;97;70.5;629.1;1016.1;1076;685.8;2009
Архангельская область;8006.3;9131.2;5430.1;107.6;63.1;632.1;1076.3;1121.5;700.5;2010
Архангельская область;7656.4;9181.3;5374.3;66.6;62.9;665.8;1201.6;1111.9;698.2;2011
Архангельская область;7972.7;9553.7;5512.1;65.5;71.4;677.7;1299.9;1090.6;689.5;2012
Архангельская область;7879.3;9201;5469.2;55.1;68.2;633.1;1132.4;1084.9;625.5;2013
Архангельская область;8025;9945.6;5689.8;54.7;74.5;637.3;1553.1;1108.5;702.2;2014
Архангельская область;8025;9945.6;5689.8;54.7;74.5;637.3;1553.1;1108.5;702.2;2015
Архангельская область;8419.4;9985.1;6050.8;43.2;57.3;613.1;1326.6;1110.9;642;2016
Архангельская область;8461.5;10050.9;6200.5;43;55.4;557.8;1225.9;1119.6;625.6;2017
Архангельская область;8461.5;10050.9;6200.5;43;55.4;557.8;1225.9;1119.6;625.6;2018
Архангельская область;8488.7;10137.7;6281.6;37.1;41.6;600;1163.3;1073.8;660.7;2019
Архангельская область;8313.4;9878.9;6194.6;36.9;37.8;530.4;1110.2;1072.8;659.8;2020
Архангельская область;8613;10356.3;6543.4;38;36.1;574.3;1129.2;1162.9;630.6;2021
Архангельская область;8621.4;10278.6;6488.8;41;33.9;516.5;1091;1211.9;614.4;2022
Архангельская область;8675.7;10282.7;6475.4;41.1;39.8;543.6;1044.8;1198.7;659.9;2023
Архангельская область;6637.4;7883.2;4177.2;32.5;35.8;563;1140.5;1032.5;633.4;2019
Архангельская область;6670.9;7916.8;4369;32.7;33.3;498.6;1091.6;1030.6;636.3;2020
Архангельская область;6851.2;8183.5;4504.5;33.4;32.1;542.9;1104.3;1118.7;619.1;2021
Архангельская область;6584.6;7888.6;4216.4;36.6;45868;488.2;1065.2;1169.7;614.2;2022
Архангельская область;6593.6;7853.2;4173.1;36.7;34;508.9;1018.3;1156.2;659.7;2023
Архангельская область;6589.6;7643.5;4045.6;49.7;62.7;619.2;1065.9;1044.1;625.5;2013
Архангельская область;6623.4;8237.8;4103;49.9;69;623.3;1504.8;1065.8;698.2;2014
Архангельская область;6623.4;8237.8;4103;49.9;69;623.3;1504.8;1065.8;698.2;2015
Архангельская область;6732.8;7924.6;4143.8;38.9;53.8;575.5;1288.7;1068.6;615.7;2016
Архангельская область;6587.2;7768.9;4079.6;39.6;47.6;520.5;1193;1076.9;596.8;2017
Архангельская область;6587.2;7768.9;4079.6;39.6;47.6;520.5;1193;1076.9;596.8;2018
Астраханская область;3102.4;3966.5;1462.4;137.8;76.6;169.8;658.4;695.2;766.3;2005
Астраханская область;2777.1;3983.3;1379.7;128.2;75.1;163.8;867.4;633.6;735.5;2006
Астраханская область;2985.5;3122.8;1769.2;117.2;75.8;132.6;306.8;210.7;510.5;2007
Астраханская область;2983.1;3656.2;1602.1;117.3;56.2;150.5;594.3;615.8;520;2008
Астраханская область;2600.1;3548.2;1479.5;115.3;50;173.1;383.3;718.5;628.5;2009
Астраханская область;2635.3;4018;1751.3;115.5;50.2;169.5;394.8;846.1;690.6;2010
Астраханская область;2688.1;4146.8;1895;130.3;75.4;176.9;429.5;767.1;672.6;2011
Астраханская область;3085.7;4332.1;1791.3;107.8;66.1;203;453;930.3;761;2012
Астраханская область;3519;4055.9;1734.7;91.2;73.4;196.1;504.6;829.5;606.8;2013
Астраханская область;4307.7;4463.2;1798.2;102.1;95.1;279;597.4;901.6;647.4;2014
Астраханская область;4307.7;4463.2;1798.2;102.1;95.1;279;597.4;901.6;647.4;2015
Астраханская область;4339.4;4442.1;1650.1;94.3;57.3;228.8;662.8;905;822.7;2016
Астраханская область;4259.1;4316.8;1834.3;140.7;48.1;221;387;943.9;656.4;2017
Астраханская область;4259.1;4316.8;1834.3;140.7;48.1;221;387;943.9;656.4;2018
Астраханская область;4303.2;4370.2;1966.7;120.1;38.7;329.3;372.1;882.7;560.9;2019
Астраханская область;4357.6;4311.8;1943.2;120.5;41.6;339.9;352.7;888.5;520.1;2020
Астраханская область;4085.9;4245.5;1712.7;110.6;37.1;309.2;316.3;1036.9;625.9;2021
Астраханская область;4407.4;4744.9;2302.2;117.6;39;309.5;321.2;1005.5;550;2022
Астраханская область;4237.6;4794.7;2249.4;119.7;38.3;359.9;331.7;1024.5;566.2;2023
Белгородская область;438.6;11952.7;8808.5;365;109.9;387.5;767.300000000001;890.1;624.4;2005
Белгородская область;761.9;13618.2;10135.2;381.1;105.7;372.6;776.5;1053.7;793.4;2006
Белгородская область;868.5;14261.2;10720.7;426.6;103.9;401.8;752.5;1054.3;801.4;2007
Белгородская область;970.2;14071.9;10255.1;508.9;111.3;380.6;884.2;1033.7;898.1;2008
Белгородская область;743.9;13344;9700.7;602.5;130;358.3;670.6;1116.3;765.6;2009
Белгородская область;848;14393.2;10535.8;621.3;146.9;337.8;633.1;1217.1;901.2;2010
Белгородская область;945.8;15114.6;11170.2;724.9;130.6;355.3;764.4;1072.7;896.5;2011
Белгородская область;926.8;15312.5;11094.6;688.5;116.9;363.5;719.599999999999;1122;898.7;2012
Белгородская область;963.1;14699.4;10406.6;720.2;115.8;334;741.099999999999;1188.7;860.4;2013
Белгородская область;910.8;14932;10533.4;721.1;121.5;343.9;800;1261.1;839.2;2014
Белгородская область;910.8;14932;10533.4;721.1;121.5;343.9;800;1261.1;839.2;2015
Белгородская область;805.3;15258.8;10700.7;832.8;120;354.2;698.1;1380.6;837.6;2016
Белгородская область;999;14576.7;9676.3;934.6;133.7;548.9;774.2;1348.4;803.5;2017
Белгородская область;999;14576.7;9676.3;934.6;133.7;548.9;774.2;1348.4;803.5;2018
Белгородская область;1111;16150.3;11117.5;1139.4;97.6;519.4;823.3;1359.4;730;2019
Белгородская область;1051.1;16204.3;11009.6;1223.5;98.9;533;836.4;1424.9;675.1;2020
Белгородская область;1095.7;18120.3;11587.5;1920.2;117.8;552.4;1299.8;1507.5;695.3;2021
Белгородская область;1289.8;17887.5;11486.7;2180.1;114.4;506.6;1000.8;1530.5;692.3;2022
Белгородская область;1318.3;17738.9;11314.2;2270.6;86.3;448.8;905.1;1500.9;697.7;2023
Брянская область;287.5;4089.8;1441.9;115;48.5;723.9;574.1;556.9;629.5;2005
Брянская область;162;3929.3;1403.1;103.2;44.6;685.8;646.1;482.2;564.3;2006
Брянская область;205.5;4055.8;1452.1;99.9;39.3;625.8;533.4;641;664.3;2007
Брянская область;199;3813.3;1486.5;95.3;45800;585.5;399.4;688.2;534.9;2008
Брянская область;56.3;3853.3;1525.3;95.4;35.8;575.9;380.3;694.2;546.4;2009
Брянская область;138;3936;1671.5;96.7;37;526.8;445.8;607.6;550.6;2010
Брянская область;119.5;3963.6;1673.5;100.7;37.4;530.2;469.5;602.3;550;2011
Брянская область;64.9;4127.2;1594.8;108.6;40.4;571.8;669.599999999999;552.5;589.4;2012
Брянская область;53;4136;1479.4;102.4;40.4;546;790.9;474.2;568;2013
Брянская область;36.8;4010.3;1393.6;111.8;50.8;522.1;692.8;558;553.5;2014
Брянская область;36.8;4010.3;1393.6;111.8;50.8;522.1;692.8;558;553.5;2015
Брянская область;55.1;3881.9;1123.5;129.4;45.5;544.3;656.8;741.6;527.6;2016
Брянская область;59.3;3900;1152;146.2;47.3;515.8;484.8;852.4;497.6;2017
Брянская область;59.3;3900;1152;146.2;47.3;515.8;484.8;852.4;497.6;2018
Брянская область;82;3797.1;1103.7;154.3;42.9;481.9;411.8;957.1;425.5;2019
Брянская область;87.7;3701.8;1137;161.9;43.3;365.1;366.3;984.8;429.2;2020
Брянская область;116.1;3782.5;1187;186.7;59.6;306;343.4;1019.2;446.7;2021
Брянская область;117.8;3866.5;1202.9;191.6;50.5;319.6;377.3;1029.8;448.5;2022
Брянская область;119.3;3781.3;1227.6;191.1;48;228.2;379.6;1021.2;437.8;2023
Владимирская область;2235.9;6509.3;2117.8;166.1;52;827.3;1209.5;845;1291.6;2005
Владимирская область;2176.7;6661.8;2194.3;166.9;93.7;862.9;780.8;883.3;1679.9;2006
Владимирская область;2112.8;6929.2;2727.2;164.6;57.8;769.4;673.7;948.1;1588.4;2007
Владимирская область;2135.3;6957.1;2436.4;167.5;51.6;777.8;728.3;1021.7;1773.8;2008
Владимирская область;2037.4;6724.3;2460.3;133.3;40.8;781.9;1464.6;957.5;885.9;2009
Владимирская область;1962.8;6979.1;2398.2;143.5;39.9;789.7;1436.4;1169.9;1001.5;2010
Владимирская область;1805.1;7019.3;2316.6;146.1;36.8;838.3;1309.3;1214.6;1157.6;2011
Владимирская область;1680.5;7078.1;2379.1;147.6;37.9;839.3;1340.1;1103.8;1153.7;2012
Владимирская область;1486.1;6983.2;2340.4;148.8;42.3;815.5;1294.4;1125.4;1128.5;2013
Владимирская область;1927.4;7275.6;2569.4;143;49;822;1354;1153.9;1053.3;2014
Владимирская область;1927.4;7275.6;2569.4;143;49;822;1354;1153.9;1053.3;2015
Владимирская область;1903.8;7138.2;2664.6;142.4;43.6;792.1;1175.5;1305.3;866.8;2016
Владимирская область;1399.5;7110.5;2722.6;138.8;44.7;749;1059.8;1374.5;802.3;2017
Владимирская область;1399.5;7110.5;2722.6;138.8;44.7;749;1059.8;1374.5;802.3;2018
Владимирская область;2307.6;7414.6;2777.8;147.8;43.1;772.1;1298.7;1354.2;764.9;2019
Владимирская область;1980.5;6899.3;2490.2;140.9;47.1;830;1064.9;1352;710.8;2020
Владимирская область;2583.6;7414.3;2706.8;144.1;48.6;930.4;1179.6;1444.2;681.4;2021
Владимирская область;2409.2;7331;2672.9;146.8;56.3;912.9;1148.6;1475.7;645.7;2022
Владимирская область;2381.6;7353.2;2695.7;153.7;65.8;902.2;1111.4;1473.7;636.4;2023
Волгоградская область;18366.3;18199.7;10471.5;382.8;111.2;1267.2;2196.1;1424.3;2346.6;2005
Волгоградская область;16442.8;18784.4;11193.6;397.5;123.8;1256.3;2150.2;1475;2188;2006
Волгоградская область;18496.7;19395.2;11196.7;380.7;133.7;1285;2342.9;1558.7;2497.5;2007
Волгоградская область;16536.6;19250.1;11355.3;356.8;137.9;1446.3;1735.6;1631.8;2586.4;2008
Волгоградская область;16338;17207.9;9835.4;345.5;123.1;1266.1;1448.2;1755.7;2433.9;2009
Волгоградская область;15342.6;18427.6;11051;324.1;116.4;1393.1;1599.5;1744.1;2199.4;2010
Волгоградская область;15836.1;18882.1;11198.8;328.9;164.4;1419.3;1615.2;1736.5;2419;2011
Волгоградская область;16761.1;18766.8;11136.1;291.2;152.8;1352;960.099999999999;1555.6;2572.2;2012
Волгоградская область;17685;17528.5;10002.1;311;119.2;1213.2;706.4;2282.4;2232.3;2013
Волгоградская область;16265.4;17235.8;8909;331.5;110.4;1502.7;987.299999999999;2137.1;2541.9;2014
Волгоградская область;16265.4;17235.8;8909;331.5;110.4;1502.7;987.3;2137.1;2541.9;2015
Волгоградская область;16905.3;13772.9;7109.7;320.7;57.2;1402.7;371.7;1565.6;2432.1;2016
Волгоградская область;18381.8;13269.6;6634.1;389.7;57.3;1569.8;442.1;1605.6;2252.3;2017
Волгоградская область;18381.8;13269.6;6634.1;389.7;57.3;1569.8;442.1;1605.6;2252.3;2018
Волгоградская область;16894.6;16238.9;8269.5;553.4;104.1;1578;549.1;2722.6;2020.8;2019
Волгоградская область;18531.5;16423.2;8471.7;690.9;76.5;1415.6;494.2;2925.4;1917.6;2020
Волгоградская область;16014.9;16827.2;8532.1;621.8;77.8;1534.6;443.6;3101.4;2061.7;2021
Волгоградская область;17043.1;17743.5;9192.8;652.9;84;1621.5;421.4;3115.3;2178.5;2022
Волгоградская область;16565.2;16941.6;8697.3;607.8;88.3;1542.9;442.5;3052.9;2075.9;2023
Вологодская область;6802.5;13481.8;9344.6;219.2;57.4;1394.5;692.899999999999;819.1;954.1;2005
Вологодская область;7173.8;13362.2;9568.1;269.6;60;540.7;812.900000000001;937.5;1173.4;2006
Вологодская область;7659.9;13976.4;10206.5;235.8;123;564.9;917.8;567.8;1177.5;2007
Вологодская область;7769.7;13549.3;9928.8;243.5;92.4;345.4;775.6;948.9;1214.7;2008
Вологодская область;6830.7;12986.1;8687.8;241.3;59.2;1017.7;816.5;954.2;1209.4;2009
Вологодская область;7860.8;13884.5;9105.1;268.2;66;1417.5;775.2;982.4;1270.1;2010
Вологодская область;7854.9;14037.1;9162.7;236.1;87.2;1397.2;828.2;1076.9;1248.8;2011
Вологодская область;7512.7;14405.5;9148.6;225.8;80.5;1153.8;1013.3;1001;1222.6;2012
Вологодская область;8091;14545.5;8973;204.3;66;1455.2;1003;1087;1173.7;2013
Вологодская область;9189.5;14332.2;9316.8;209.7;78.2;1486.7;660.4;1151.1;923.7;2014
Вологодская область;9189.5;14332.2;9316.8;209.7;78.2;1486.7;660.4;1151.1;923.7;2015
Вологодская область;11699.2;15046.5;9888.6;274;71.1;1435.4;802.2;1406.1;708.5;2016
Вологодская область;9871.7;14958.7;9986;296.1;81.4;1370;596;1423.1;673.7;2017
Вологодская область;9871.7;14958.7;9986;296.1;81.4;1370;596;1423.1;673.7;2018
Вологодская область;10544.6;14642.6;10070.9;295.9;76.2;1285.9;576;1280.8;562;2019
Вологодская область;10470.6;14705.3;10109.4;291.8;76;1309.3;566.8;1276;577.1;2020
Вологодская область;8477.4;14787.4;10119.7;295.5;79.6;1320.4;530.8;1330.8;576.5;2021
Вологодская область;9832.4;14750.8;10113.6;287.7;82;1273.7;539.6;1382.8;526.9;2022
Вологодская область;10030;14960.4;10332.7;278.2;78.4;1276;538.2;1403.9;511.7;2023
Воронежская область;9335.5;9099.1;3667.6;402.1;101;1022.4;1079.1;1411.2;1415.7;2005
Воронежская область;14606.5;9379.6;3716.6;362.8;124.9;1036.7;1339.1;1525.9;1273.6;2006
Воронежская область;12503.6;9697.8;3754.7;301.6;116.5;1135.2;1432.1;1680;1277.7;2007
Воронежская область;14061.3;9945.6;3995.4;231.5;150.1;1182;1415.4;1690.4;1280.8;2008
Воронежская область;13027.4;9929.8;3949.5;240;216.2;1116.9;1422.2;1753.9;1231.1;2009
Воронежская область;12788.3;10078.8;4067.8;735.3;156.7;1137.9;870.1;1818.8;1292.2;2010
Воронежская область;9909.3;10172;4056.5;681.6;159.1;1143.4;918.4;1903.7;1309.3;2011
Воронежская область;14829.7;10510.9;3966.6;659.4;174.1;1092.8;851.299999999999;2227.9;1350.3;2012
Воронежская область;15753.8;10615.9;4011.6;679;180.9;1102.5;838.7;2375;1231.7;2013
Воронежская область;14805;10790.7;4075.7;709;190.5;1102.4;870;2432.7;1211;2014
Воронежская область;14805;10790.7;4075.7;709;190.5;1102.4;870;2432.7;1211;2015
Воронежская область;16692.9;11278;4565.5;749.8;200.3;941.6;926.6;2525;1144;2016
Воронежская область;18142.8;11334.5;5055.7;651.5;240.6;813.2;654.9;2321.7;1129.9;2017
Воронежская область;18142.8;11334.5;5055.7;651.5;240.6;813.2;654.9;2321.7;1129.9;2018
Воронежская область;23065.7;11974.1;5533.9;557.2;279.7;1051.7;453.4;2302;1155.3;2019
Воронежская область;28665.6;12120.2;5750.6;461.8;247.2;1103.5;418.8;2458.7;1113.1;2020
Воронежская область;29809.8;12860.4;5930.4;438.4;296;1323.2;502.2;2549;1157.7;2021
Воронежская область;29637;12965.4;5984.3;419.8;295.8;1395;503.5;2578.3;1156.7;2022
Воронежская область;29790.4;13070.5;6069.4;397.4;280.5;1383.3;519.3;2588.1;1179.3;2023
г.Москва;51670.4;46651.5;17193.5;0;956.8;2748.1;8612.2;10631.5;6509.4;2005
г.Москва;53911.7;48280;17920;0;1049;3255.9;8494.9;11310.6;6249.6;2006
г.Москва;54101.9;49293.6;19979;45744;1049.1;3297.7;8278.3;11771.8;4889.4;2007
г.Москва;52809.2;51730;19297.2;1;1080.2;3401.3;13613.5;9413.2;4923.6;2008
г.Москва;49782;49782;17460.6;1;993.5;3456.1;13685.2;9516.7;4668.9;2009
г.Москва;51954.3;51954.3;16143.6;1;710.2;3358.6;16971.2;9934.2;4835.5;2010
г.Москва;53033;53033;16283.4;1;1076.9;3271.3;16643.6;10545.8;5211;2011
г.Москва;51516.9;53576.1;16420.7;86;1087.7;3631.1;11334.1;11404.1;5041;2012
г.Москва;47647.5;54808.4;14927.5;150;1155.4;3908.3;12061.1;13188.2;4686.5;2013
г.Москва;47124.2;55113.6;14403.2;264.9;1216.6;4665.8;11875;13293.7;4595.9;2014
г.Москва;47124.2;55113.6;14403.2;264.9;1216.6;4665.8;11875;13293.7;4595.9;2015
г.Москва;50508.8;55488.2;15595.1;126.3;1349;3901.4;12871;13194.7;4213.6;2016
г.Москва;48972.2;56635.4;16486.9;256.9;1407.5;3794.4;12086.8;13408.2;4500.8;2017
г.Москва;48972.2;56635.4;16486.9;256.9;1407.5;3794.4;12086.8;13408.2;4500.8;2018
г.Москва;52043.2;56642.2;11227.7;302.2;1174.9;4284.4;19125.5;12874.4;4142.9;2019
г.Москва;48233.9;52706.2;10408.4;275.8;1145.2;4193.6;18620.8;11054.9;3550.9;2020
г.Москва;54660.9;58795.2;11711.3;230.3;1275;4520.1;20417.4;12321.1;3898.6;2021
г.Москва;54496.8;59973.1;11686.3;227.8;1450.4;4656.7;20937.1;12548.2;3601.7;2022
г.Москва;54905.7;60084.5;11741.9;172.4;1215.2;4705.4;21782.3;12654.3;3062.8;2023
г.Санкт-Петербург;10663.6;20618.9;5112.7;50.9;424.8;1577.9;6915.1;3088;3449.5;2005
г.Санкт-Петербург;11564;20344.8;5354.5;119.1;418.5;1489.6;7117.6;3086.8;2758.7;2006
г.Санкт-Петербург;12615.5;19919;5541.3;41.7;395.8;1373.7;6860.1;5649.7;2468.3;2007
г.Санкт-Петербург;13793.9;20983.5;6958;57.6;472.2;1681.8;5546.7;3798.9;2468.3;2008
г.Санкт-Петербург;15124.6;21305.4;5454.5;45919;438;1476.7;7137.8;4120.9;2657.6;2009
г.Санкт-Петербург;14965.2;23862.7;6007.9;39.1;488.7;1667.3;8518;4236.8;2904.9;2010
г.Санкт-Петербург;18165.8;23670.2;6402.2;38.5;542.5;1685.4;7919.4;4123.8;2958.4;2011
г.Санкт-Петербург;19053.4;24625;6392.8;42.4;607;1603.1;7225.8;4494;2756.2;2012
г.Санкт-Петербург;20659.9;24130.1;6458.7;45.4;628.8;1564.8;6595.7;4596.9;2711.6;2013
г.Санкт-Петербург;18509.4;25500.4;6455;44.4;645.1;1525.2;7501;5039.4;2959;2014
г.Санкт-Петербург;18509.4;25500.4;6455;44.4;645.1;1525.2;7501;5039.4;2959;2015
г.Санкт-Петербург;20157;26759.5;6455.6;75.8;922.1;1708.7;8315.5;5098.9;3344.1;2016
г.Санкт-Петербург;21556.6;28204.5;6740.7;61.1;1048.7;1812.4;8679.7;5289.7;3542.7;2017
г.Санкт-Петербург;21556.6;28204.5;6740.7;61.1;1048.7;1812.4;8679.7;5289.7;3542.7;2018
г.Санкт-Петербург;22620.5;26966.8;6541.4;53.6;1043.5;1950.5;8175.8;4784.4;3350.6;2019
г.Санкт-Петербург;20140.1;25217.8;5820.5;45.1;995.5;1934.5;7296.6;4746.9;3334.9;2020
г.Санкт-Петербург;23369.9;27133.4;6112.1;44.5;1068.4;2046.6;8174.1;5101.2;3478.4;2021
г.Санкт-Петербург;22641.5;27093;6036;49.5;1060.1;2032.2;8448.8;5012.2;3333.5;2022
г.Санкт-Петербург;22575.4;26776.2;6112.3;45;1001.9;2019.2;8589.5;5046.1;2853;2023
г.Севастополь;129.4;1406.5;116.8;45848;45760;43.8;291.4;525.7;363.2;2014
г.Севастополь;129.4;1406.5;116.8;45848;45760;43.8;291.4;525.7;363.2;2015
г.Севастополь;484.3;1319.2;173.2;45816;45891;39.3;119.2;652.9;200.6;2016
г.Севастополь;136.6;1254;163.8;45908;45760;39.6;208.9;549;173.9;2016
г.Севастополь;384.2;1358.1;158.7;45910;45820;45838;205.9;656.7;153.1;2017
г.Севастополь;384.2;1358.1;158.7;45910;45820;45838;205.9;656.7;153.1;2018
г.Севастополь;2891;2378.6;641.4;45731;17;36.5;637.4;520.3;192.4;2019
г.Севастополь;2680.2;2259.7;616.1;45761;45763;37.4;545;548.4;189.1;2020
г.Севастополь;2942.1;2339.4;673.7;45729;45827;40.5;530.8;600.8;211.7;2021
г.Севастополь;2996.2;2486.2;685.3;45882;45858;38.6;648.8;626;200.4;2022
г.Севастополь;3248.4;2431.1;626.1;45669;45799;39.2;639.9;630.3;198;2023
Дальневосточный федеральный округ;40587.2;39837.7;14451.1;438;650;4871.5;6058.8;5527.8;7840.5;2005
Дальневосточный федеральный округ;41071.6;40070.6;14610;439.8;531.9;4587.7;6480.8;5572.2;7848.2;2006
Дальневосточный федеральный округ;40699.4;39596.7;15775.9;417.4;649.1;4584.3;5831.3;6031.8;6306.9;2007
Дальневосточный федеральный округ;41798.1;40346.8;16776.3;441.3;594.4;4702;5396.5;6100.3;6336;2008
Дальневосточный федеральный округ;41878.1;39685.1;15350.7;439.7;597.2;4732.2;5595.5;6366.1;6603.7;2009
Дальневосточный федеральный округ;45073.4;42450.1;17373.9;481.9;538.9;5556.6;5058.3;7314.9;6125.6;2010
Дальневосточный федеральный округ;45991.2;44971;19354;470;619.9;5475.7;5950.9;7474.6;5625.9;2011
Дальневосточный федеральный округ;48965.2;45416.7;19146.6;445.9;672.7;5803.3;4706.89999999999;7941.5;5181.8;2012
Дальневосточный федеральный округ;49806.7;45505;18961.8;437.2;639.7;5759.1;4713.7;8444.1;4860.8;2013
Дальневосточный федеральный округ;50200.4;45547.8;18724.2;433.6;684.3;6026.5;4679.10000000001;7970.9;5380.5;2014
